30318,Student7,2016-07-05,E1,Java2
6769,Student8,2003-12-07,E7,Java4
80239,Student3,2014-10-05,E3,Java5
17878,Student4,2005-09-05,E5,Java4
98136,Student1,2009-02-07,E7,Java4
66335,Student2,2001-06-18,E1,Java4
32101,Student5,2003-03-20,E9,Java2
95405,Student6,2006-04-17,E2,Java3
23371,Student9,2013-05-20,E2,Java3
16232,Student10,2004-06-23,E10,Java4
30318,Student7,2016-07-05,E1,Java2
6769,Student8,2003-12-07,E7,Java4
80239,Student3,2014-10-05,E3,Java5
17878,Student4,2005-09-05,E5,Java4
98136,Student1,2009-02-07,E7,Java4
66335,Student2,2001-06-18,E1,Java4
32101,Student5,2003-03-20,E9,Java2
95405,Student6,2006-04-17,E2,Java3
23371,Student9,2013-05-20,E2,Java3
16232,Student10,2004-06-23,E10,Java4
32,saka,2000-12-12,e2,java
